2023-03-10 10:04:25.998986 [INFO   ] [APP] application started
2023-03-10 10:04:31.259772 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-10 10:04:31.259831 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-10 10:04:31.259839 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-10 10:04:31.318650 [DEBUG  ] [CON] 'Exec' received 15 bytes
2023-03-10 10:04:31.318682 [DEBUG  ] [CON] 'Exec' received message with type=8 and size=15
2023-03-10 10:04:31.318691 [INFO   ] [AUTO] order 1 filled for 10 lots at $147100 cents
2023-03-10 10:04:31.318756 [DEBUG  ] [CON] 'Exec' sent 16 bytes
2023-03-10 10:04:31.318892 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-10 10:04:31.318900 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-10 10:04:31.319229 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-10 10:04:31.319237 [DEBUG  ] [CON] 'Info' received message with type=11 and size=88
2023-03-10 10:04:31.319243 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 147100; ask volumes: 10; bid prices: 0; bid volumes: 0
2023-03-10 10:04:31.319881 [DEBUG  ] [CON] 'Exec' received 15 bytes
2023-03-10 10:04:31.319901 [DEBUG  ] [CON] 'Exec' received message with type=4 and size=15
2023-03-10 10:04:31.319907 [INFO   ] [AUTO] hedge order 4 filled for 10 lots at $147100 average price in cents
2023-03-10 10:04:31.489779 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-10 10:04:31.489825 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-10 10:04:31.489835 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147100; ask volumes: 10; bid prices: 147000; bid volumes: 5000
2023-03-10 10:04:31.489967 [DEBUG  ] [CON] 'Exec' sent 7 bytes
2023-03-10 10:04:31.490005 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-10 10:04:31.490015 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-10 10:04:31.490020 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147600; ask volumes: 10000; bid prices: 147000; bid volumes: 10
2023-03-10 10:04:31.490030 [DEBUG  ] [CON] 'Exec' sent 34 bytes
2023-03-10 10:04:31.490470 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-10 10:04:31.490479 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-10 10:04:31.490623 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-10 10:04:31.490631 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-10 10:04:31.490686 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-10 10:04:31.490694 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-10 10:04:31.490725 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-10 10:04:31.490732 [DEBUG  ] [CON] 'Info' received message with type=11 and size=88
2023-03-10 10:04:31.490736 [INFO   ] [AUTO] trade ticks received for Future instrument: ask prices: 147100; ask volumes: 10; bid prices: 0; bid volumes: 0
2023-03-10 10:04:31.568463 [DEBUG  ] [CON] 'Exec' received 15 bytes
2023-03-10 10:04:31.568509 [DEBUG  ] [CON] 'Exec' received message with type=8 and size=15
2023-03-10 10:04:31.568515 [INFO   ] [AUTO] order 6 filled for 1 lots at $147100 cents
2023-03-10 10:04:31.568571 [DEBUG  ] [CON] 'Exec' sent 16 bytes
2023-03-10 10:04:31.568579 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-10 10:04:31.568583 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-10 10:04:31.569349 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-10 10:04:31.569373 [DEBUG  ] [CON] 'Info' received message with type=11 and size=88
2023-03-10 10:04:31.569389 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 0; ask volumes: 0; bid prices: 147100; bid volumes: 1
2023-03-10 10:04:31.569630 [DEBUG  ] [CON] 'Exec' received 15 bytes
2023-03-10 10:04:31.569645 [DEBUG  ] [CON] 'Exec' received message with type=4 and size=15
2023-03-10 10:04:31.569651 [INFO   ] [AUTO] hedge order 7 filled for 1 lots at $147100 average price in cents
2023-03-10 10:04:31.793544 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-10 10:04:31.793599 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-10 10:04:31.793610 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147200; ask volumes: 1000; bid prices: 147000; bid volumes: 6000
2023-03-10 10:04:31.793746 [DEBUG  ] [CON] 'Exec' sent 7 bytes
2023-03-10 10:04:31.793780 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-10 10:04:31.793790 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-10 10:04:31.793794 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147200; ask volumes: 10; bid prices: 147100; bid volumes: 9
2023-03-10 10:04:31.793801 [DEBUG  ] [CON] 'Exec' sent 17 bytes
2023-03-10 10:04:31.794026 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-10 10:04:31.794031 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-10 10:04:31.794310 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-10 10:04:31.794316 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-10 10:04:31.978178 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-10 10:04:31.978220 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-10 10:04:31.978246 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147100; ask volumes: 20; bid prices: 147000; bid volumes: 900
2023-03-10 10:04:31.978340 [DEBUG  ] [CON] 'Exec' sent 7 bytes
2023-03-10 10:04:31.978374 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-10 10:04:31.978383 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-10 10:04:31.978387 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147200; ask volumes: 10; bid prices: 147000; bid volumes: 10
2023-03-10 10:04:31.978394 [DEBUG  ] [CON] 'Exec' sent 17 bytes
2023-03-10 10:04:31.978606 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-10 10:04:31.978613 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-10 10:04:31.978819 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-10 10:04:31.978825 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-10 10:04:32.220188 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-10 10:04:32.220238 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-10 10:04:32.220247 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147100; ask volumes: 20; bid prices: 147000; bid volumes: 4900
2023-03-10 10:04:32.220254 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-10 10:04:32.220257 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-10 10:04:32.220261 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147100; ask volumes: 10; bid prices: 147000; bid volumes: 10
2023-03-10 10:04:32.513242 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-10 10:04:32.513286 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-10 10:04:32.513294 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147100; ask volumes: 9420; bid prices: 147000; bid volumes: 900
2023-03-10 10:04:32.513301 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-10 10:04:32.513304 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-10 10:04:32.513307 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147100; ask volumes: 10; bid prices: 147000; bid volumes: 10
2023-03-10 10:04:32.568561 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-10 10:04:32.568586 [DEBUG  ] [CON] 'Info' received message with type=11 and size=88
2023-03-10 10:04:32.568593 [INFO   ] [AUTO] trade ticks received for Future instrument: ask prices: 0; ask volumes: 0; bid prices: 147000; bid volumes: 900
2023-03-10 10:04:32.663291 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-10 10:04:32.663323 [DEBUG  ] [CON] 'Info' received message with type=11 and size=88
2023-03-10 10:04:32.663331 [INFO   ] [AUTO] trade ticks received for Future instrument: ask prices: 0; ask volumes: 0; bid prices: 146900; bid volumes: 500
2023-03-10 10:04:32.784625 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-10 10:04:32.784654 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-10 10:04:32.784660 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147100; ask volumes: 13400; bid prices: 146900; bid volumes: 4000
2023-03-10 10:04:32.784745 [DEBUG  ] [CON] 'Exec' sent 7 bytes
2023-03-10 10:04:32.784775 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-10 10:04:32.784785 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-10 10:04:32.784790 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147100; ask volumes: 10; bid prices: 147000; bid volumes: 10
2023-03-10 10:04:32.784800 [DEBUG  ] [CON] 'Exec' sent 17 bytes
2023-03-10 10:04:32.785247 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-10 10:04:32.785255 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-10 10:04:32.785311 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-10 10:04:32.785319 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-10 10:04:33.008061 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-10 10:04:33.008108 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-10 10:04:33.008117 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147000; ask volumes: 9400; bid prices: 146800; bid volumes: 3000
2023-03-10 10:04:33.008234 [DEBUG  ] [CON] 'Exec' sent 7 bytes
2023-03-10 10:04:33.008269 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-10 10:04:33.008278 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-10 10:04:33.008283 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147100; ask volumes: 10; bid prices: 146900; bid volumes: 10
2023-03-10 10:04:33.008293 [DEBUG  ] [CON] 'Exec' sent 41 bytes
2023-03-10 10:04:33.008408 [DEBUG  ] [CON] 'Exec' received 15 bytes
2023-03-10 10:04:33.008415 [DEBUG  ] [CON] 'Exec' received message with type=8 and size=15
2023-03-10 10:04:33.008419 [INFO   ] [AUTO] order 10 filled for 10 lots at $146900 cents
2023-03-10 10:04:33.008461 [DEBUG  ] [CON] 'Exec' sent 16 bytes
2023-03-10 10:04:33.008466 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-10 10:04:33.008469 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-10 10:04:33.008609 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-10 10:04:33.008618 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-10 10:04:33.008671 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-10 10:04:33.008679 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-10 10:04:33.008719 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-10 10:04:33.008726 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-10 10:04:33.008945 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-10 10:04:33.008951 [DEBUG  ] [CON] 'Info' received message with type=11 and size=88
2023-03-10 10:04:33.008954 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 0; ask volumes: 0; bid prices: 146900; bid volumes: 10
2023-03-10 10:04:33.009105 [DEBUG  ] [CON] 'Exec' received 15 bytes
2023-03-10 10:04:33.009112 [DEBUG  ] [CON] 'Exec' received message with type=4 and size=15
2023-03-10 10:04:33.009116 [INFO   ] [AUTO] hedge order 13 filled for 10 lots at $146800 average price in cents
2023-03-10 10:04:33.299172 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-10 10:04:33.299217 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-10 10:04:33.299227 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147000; ask volumes: 11400; bid prices: 146700; bid volumes: 1000
2023-03-10 10:04:33.299337 [DEBUG  ] [CON] 'Exec' sent 7 bytes
2023-03-10 10:04:33.299377 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-10 10:04:33.299387 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-10 10:04:33.299392 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147000; ask volumes: 10; bid prices: 146800; bid volumes: 10
2023-03-10 10:04:33.299402 [DEBUG  ] [CON] 'Exec' sent 17 bytes
2023-03-10 10:04:33.299544 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-10 10:04:33.299551 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-10 10:04:33.299610 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-10 10:04:33.299617 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-10 10:04:33.543638 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-10 10:04:33.543689 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-10 10:04:33.543698 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147000; ask volumes: 11400; bid prices: 146700; bid volumes: 1000
2023-03-10 10:04:33.543706 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-10 10:04:33.543709 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-10 10:04:33.543712 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147000; ask volumes: 10; bid prices: 146700; bid volumes: 10
2023-03-10 10:04:33.754238 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-10 10:04:33.754289 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-10 10:04:33.754298 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147000; ask volumes: 9400; bid prices: 146800; bid volumes: 12000
2023-03-10 10:04:33.754405 [DEBUG  ] [CON] 'Exec' sent 7 bytes
2023-03-10 10:04:33.754433 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-10 10:04:33.754438 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-10 10:04:33.754444 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147000; ask volumes: 10; bid prices: 146700; bid volumes: 10
2023-03-10 10:04:33.754451 [DEBUG  ] [CON] 'Exec' sent 17 bytes
2023-03-10 10:04:33.754943 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-10 10:04:33.754950 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-10 10:04:33.755321 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-10 10:04:33.755330 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-10 10:04:33.912183 [DEBUG  ] [CON] 'Exec' received 15 bytes
2023-03-10 10:04:33.912227 [DEBUG  ] [CON] 'Exec' received message with type=8 and size=15
2023-03-10 10:04:33.912236 [INFO   ] [AUTO] order 11 filled for 10 lots at $147000 cents
2023-03-10 10:04:33.912328 [DEBUG  ] [CON] 'Exec' sent 16 bytes
2023-03-10 10:04:33.912343 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-10 10:04:33.912346 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-10 10:04:33.912438 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-10 10:04:33.912444 [DEBUG  ] [CON] 'Info' received message with type=11 and size=88
2023-03-10 10:04:33.912448 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 147000; ask volumes: 10; bid prices: 0; bid volumes: 0
2023-03-10 10:04:33.912593 [DEBUG  ] [CON] 'Exec' received 15 bytes
2023-03-10 10:04:33.912599 [DEBUG  ] [CON] 'Exec' received message with type=4 and size=15
2023-03-10 10:04:33.912603 [INFO   ] [AUTO] hedge order 16 filled for 10 lots at $147000 average price in cents
2023-03-10 10:04:33.969409 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-10 10:04:33.969450 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-10 10:04:33.969459 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147000; ask volumes: 9000; bid prices: 146800; bid volumes: 13000
2023-03-10 10:04:33.969550 [DEBUG  ] [CON] 'Exec' sent 17 bytes
2023-03-10 10:04:33.969561 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-10 10:04:33.969565 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-10 10:04:33.969570 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147500; ask volumes: 9917; bid prices: 146800; bid volumes: 10
2023-03-10 10:04:33.969733 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-10 10:04:33.969742 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-10 10:04:34.157726 [DEBUG  ] [CON] 'Exec' received 15 bytes
2023-03-10 10:04:34.157765 [DEBUG  ] [CON] 'Exec' received message with type=8 and size=15
2023-03-10 10:04:34.157774 [INFO   ] [AUTO] order 15 filled for 10 lots at $146800 cents
2023-03-10 10:04:34.157851 [DEBUG  ] [CON] 'Exec' sent 16 bytes
2023-03-10 10:04:34.157905 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-10 10:04:34.157913 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-10 10:04:34.158022 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-10 10:04:34.158028 [DEBUG  ] [CON] 'Info' received message with type=11 and size=88
2023-03-10 10:04:34.158033 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 0; ask volumes: 0; bid prices: 146800; bid volumes: 10
2023-03-10 10:04:34.158198 [DEBUG  ] [CON] 'Exec' received 15 bytes
2023-03-10 10:04:34.158204 [DEBUG  ] [CON] 'Exec' received message with type=4 and size=15
2023-03-10 10:04:34.158207 [INFO   ] [AUTO] hedge order 18 filled for 10 lots at $146800 average price in cents
2023-03-10 10:04:34.258550 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-10 10:04:34.258591 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-10 10:04:34.258600 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147000; ask volumes: 1000; bid prices: 146800; bid volumes: 13000
2023-03-10 10:04:34.258717 [DEBUG  ] [CON] 'Exec' sent 17 bytes
2023-03-10 10:04:34.258730 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-10 10:04:34.258734 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-10 10:04:34.258741 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147000; ask volumes: 10; bid prices: 146300; bid volumes: 9993
2023-03-10 10:04:34.258974 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-10 10:04:34.258983 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-10 10:04:34.504314 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-10 10:04:34.504354 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-10 10:04:34.504363 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147000; ask volumes: 13400; bid prices: 146800; bid volumes: 2000
2023-03-10 10:04:34.504381 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-10 10:04:34.504398 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-10 10:04:34.504403 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147000; ask volumes: 10; bid prices: 146800; bid volumes: 10
2023-03-10 10:04:34.812860 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-10 10:04:34.812901 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-10 10:04:34.812911 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147000; ask volumes: 13400; bid prices: 146800; bid volumes: 5000
2023-03-10 10:04:34.812921 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-10 10:04:34.812925 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-10 10:04:34.812930 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147000; ask volumes: 10; bid prices: 146800; bid volumes: 10
2023-03-10 10:04:34.983572 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-10 10:04:34.983607 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-10 10:04:34.983615 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147000; ask volumes: 13400; bid prices: 146800; bid volumes: 5000
2023-03-10 10:04:34.983624 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-10 10:04:34.983631 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-10 10:04:34.983634 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147000; ask volumes: 10; bid prices: 146800; bid volumes: 10
2023-03-10 10:04:35.015870 [DEBUG  ] [CON] 'Exec' received 15 bytes
2023-03-10 10:04:35.015915 [DEBUG  ] [CON] 'Exec' received message with type=8 and size=15
2023-03-10 10:04:35.015923 [INFO   ] [AUTO] order 19 filled for 10 lots at $146800 cents
2023-03-10 10:04:35.015998 [DEBUG  ] [CON] 'Exec' sent 16 bytes
2023-03-10 10:04:35.016268 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-10 10:04:35.016275 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-10 10:04:35.016323 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-10 10:04:35.016327 [DEBUG  ] [CON] 'Info' received message with type=11 and size=88
2023-03-10 10:04:35.016331 [INFO   ] [AUTO] trade ticks received for ETF instrument: ask prices: 0; ask volumes: 0; bid prices: 146800; bid volumes: 10
2023-03-10 10:04:35.016586 [DEBUG  ] [CON] 'Exec' received 15 bytes
2023-03-10 10:04:35.016593 [DEBUG  ] [CON] 'Exec' received message with type=4 and size=15
2023-03-10 10:04:35.016597 [INFO   ] [AUTO] hedge order 20 filled for 10 lots at $146800 average price in cents
2023-03-10 10:04:35.275862 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-10 10:04:35.275907 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-10 10:04:35.275916 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 146900; ask volumes: 12400; bid prices: 146700; bid volumes: 4000
2023-03-10 10:04:35.276044 [DEBUG  ] [CON] 'Exec' sent 7 bytes
2023-03-10 10:04:35.276079 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-10 10:04:35.276089 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-10 10:04:35.276095 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147000; ask volumes: 10; bid prices: 146100; bid volumes: 10000
2023-03-10 10:04:35.276105 [DEBUG  ] [CON] 'Exec' sent 34 bytes
2023-03-10 10:04:35.276318 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-10 10:04:35.276325 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-10 10:04:35.276392 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-10 10:04:35.276396 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
